Name,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Genus,Species,Population size,Life span,Top speed,Weight,Height,Length,Attributes,Distribution,Habits,Diet,Mating_Habits,Population
Jaguar,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,Panthera,Panthera onca,15,11-20 yrs,80 km/h,56-96 kg,63-76 cm,1-1.8 m,"Crepuscular,Carnivore,Terrestrial,Altricial,Territorial,Polygyny,Solitary,Not a migrant,starts with","{'Geography': {'Continents': 'South America, North America', 'Subcontinents': 'Central America', 'Countries': 'Argentina, Belize, Bolivia, Brazil, Colombia, Costa Rica, Ecuador, Guatemala, Guyana, Honduras,', 'Biogeographical realms': 'Mexico, Nicaragua,  Panama, Paraguay, Peru, Suriname, United States, Venezuela', 'Wwf biomes': 'Nearctic, Neotropical'}, 'Biome': ['Forest', 'Rainforest', 'Wetlands '], 'Climate': ['Tropical', 'Arid', 'Temperate']}","{'Group name': 'prowl, leap', 'Lifestyle': 'Terrestrial, Altricial, Territorial,', 'Seasonal behavior': 'Not a migrant'}","Carnivore,","{'Mating behavior': 'Polygyny', 'Reproduction season': 'December-March', 'Pregnancy duration': '91-111 days', 'Baby carrying': '2-3 cubs', 'Independent age': '5-6 months', 'Baby name': 'cub'}","{'Population trend': 'Decreasing', 'Population status': 'Near Threatened (NT)'}"
Horse,Przewalski's Horse,,Animalia,Chordata,Vertebrata,,Mammalia,Perissodactyla,Equidae,,,,,,,"Viviparous,Precocial,Social,Herding,Dominance hierarchy,Domesticated,starts with","{'Geography': {}, 'Biome': ['Anthropogenic biome'], 'Climate': []}","{'Lifestyle': 'Viviparous, Precocial'}",,{},{}
Raccoon,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Procyonidae,Procyon,Procyon lotor,Unknown,2-20 yrs,24 km/h,2-14 kg,23-30 cm,40-70 cm,"Nocturnal,Crepuscular,Omnivore,Terrestrial,Altricial,Burrowing,Arboreal,Scansorial,Viviparous,Polygynandry,Social,Not a migrant,starts with,Smart Animals","{'Geography': {'Continents': 'North America', 'Subcontinents': 'Central America', 'Countries': 'Belize, Canada, Costa Rica, El Salvador,  Guatemala, Honduras, Mexico, Nicaragua, Panama, United States', 'Introduced countries': 'Austria, Azerbaijan, Belgium, Czech Republic, Estonia, France, Georgia, Germany, Hungary, Italy,', 'Biogeographical realms': 'Japan, Lithuania, Luxembourg, Netherlands, Romania, Russia, Serbia, Slovakia, Slovenia, Spain, Switzerland, Ukraine, Uzbekistan', 'Wwf biomes': 'Nearctic, Neotropical, Palearctic'}, 'Biome': ['Wetlands ', 'Anthropogenic biome', 'Urban wildlife', 'Bog', 'Forest', 'Marsh', 'Riparian', 'Suburban', 'Swamp', 'Woodland', 'Montane forest', 'Agricultural'], 'Climate': ['Tropical', 'Temperate', 'Cold']}","{'Group name': 'gaze, nursery, committee, smack, brace, troop', 'Lifestyle': 'Terrestrial, Altricial, Burrowing, Arboreal, Scansorial, Viviparous', 'Seasonal behavior': 'Not a migrant'}",Omnivore,"{'Mating behavior': 'Polygynandry', 'Reproduction season': 'February-June', 'Pregnancy duration': '2 months', 'Baby carrying': '4-5 kits', 'Independent age': '10 months', 'Female name': 'sow', 'Male name': 'boar', 'Baby name': 'kit, cub'}","{'Population trend': 'Increasing', 'Population status': 'Least concern (LC)'}"
Polar Bear,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Ursidae,Ursus,Ursus maritimus,22-31 Thou,25-30 yrs,40 km/h,150-800 kg,1.6 m,1.8-2.5 m,"Diurnal,Carnivore,Scavenger,Terrestrial,Altricial,Natatorial,Nomadic,Apex predator,Burrowing,Aquatic,Polygyny,Dangerous,Solitary,Hibernating,starts with,Canada Province Animals,Giant Animals,Snow White","{'Geography': {'Continents': 'North America, Europe, Asia', 'Countries': 'Canada, Norway, Russia, United States', 'Regions': 'Labrador,  Manitoba, Newfoundland, Northwest Territories, Nunavut, Ontario, Québec, Yukon, Greenland, Yakutiya,', 'Oceans': 'Alaska, Newfoundland I', 'Biogeographical realms': 'Arctic Ocean', 'Wwf biomes': 'Nearctic, Palearctic'}, 'Biome': ['Coastal', 'Icecap', 'Marine', 'Intertidal zone', 'Oceanic pelagic zone', 'Neritic zone'], 'Climate': ['Polar', 'Cold']}","{'Group name': 'sloth, sleuth', 'Lifestyle': 'Terrestrial, Altricial, Natatorial, Nomadic, Apex predator, Burrowing, Aquatic', 'Seasonal behavior': 'Hibernating'}","Carnivore,,Scavenger","{'Mating behavior': 'Polygyny', 'Reproduction season': 'April-May', 'Baby carrying': '2 cubs', 'Independent age': '2-3 years', 'Female name': 'sow', 'Male name': 'boar', 'Baby name': 'cub'}",{'Population status': 'Vulnerable (VU)'}
Cheetah,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,Acinonyx,Acinonyx jubatus,"6,674",10-20 yrs,112 km/h,21-72 kg,70-90 cm,112-150 cm,"Diurnal,Carnivore,Terrestrial,Cursorial,Altricial,Territorial,Viviparous,Pursuit predator,Ambush predator,Nomadic,Polygyny,Social,Solitary,Not a migrant,starts with,Spotted Animals,Fast Animals","{'Geography': {'Continents': 'Africa, Asia', 'Subcontinents': 'North Africa, Sub-Saharan Africa, Western Asia', 'Countries': 'Algeria, Angola, Benin, Botswana, Burkina Faso, Central African Republic, Chad, Ethiopia, Iran, Kenya,', 'Biogeographical realms': 'Mali, Mozambique, Namibia, Niger, South Africa, South Sudan, Tanzania, Uganda, Zambia, Zimbabwe, Eritrea, Swaziland', 'Wwf biomes': 'Indomalayan,  Palearctic, Afrotropical'}, 'Biome': ['Grassland', 'Savanna', 'Shrubland', 'Mountains'], 'Climate': ['Tropical', 'Arid']}","{'Group name': 'coalition', 'Lifestyle': 'Terrestrial, Cursorial, Altricial, Territorial, Viviparous, Pursuit predator, Ambush predator, Nomadic', 'Seasonal behavior': 'Not a migrant'}",Carnivore,"{'Mating behavior': 'Polygyny', 'Reproduction season': 'year-round', 'Pregnancy duration': '3 months', 'Baby carrying': '2-5 cubs', 'Independent age': '1.5-2 years', 'Female name': 'female', 'Male name': 'male', 'Baby name': 'cub'}","{'Population trend': 'Decreasing', 'Population status': 'Vulnerable (VU)'}"
Platypus,Animalia,Chordata,Vertebrata,Mammalia,Monotremata,,Ornithorhynchidae,Ornithorhynchus,Ornithorhynchus anatinus,Unknown,12-20 yrs,35 km/h,0.7-2.4 kg,,43-50 cm,"Nocturnal,Crepuscular,Carnivore,Semiaquatic,Altricial,Fossorial,Natatorial,Territorial,Oviparous,Burrowing,Polygynandry,Venomous,Solitary,Not a migrant,starts with,Weird Animals","{'Geography': {'Continents': 'Oceania', 'Countries': 'Australia', 'Regions': 'New South Wales, Queensland, South Australia, Tasmania, Victoria', 'Biogeographical realms': 'Australasian', 'Wwf biomes': 'Temperate broadleaf and mixed forest, Tropical moist forests'}, 'Biome': ['Lakes', 'Freshwater', 'Riparian', 'Rivers', 'Wetlands '], 'Climate': ['Temperate', 'Tropical']}","{'Lifestyle': 'Semiaquatic, Altricial, Fossorial, Natatorial, Territorial, Oviparous, Burrowing', 'Seasonal behavior': 'Not a migrant'}",Carnivore,"{'Mating behavior': 'Polygynandry', 'Reproduction season': 'June-October', 'Pregnancy duration': '10 days', 'Baby carrying': '1-2 puggles', 'Independent age': '4-5 months', 'Baby name': 'puggle'}","{'Population trend': 'Decreasing', 'Population status': 'Near Threatened (NT)'}"
Coyote,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Canidae,Canis,Canis latrans,Unknown,10-18 yrs,64 km/h,7-20 kg,53-61 cm,1-1.4 m,"Crepuscular,Diurnal,Carnivore,Scavenger,Terrestrial,Cursorial,Altricial,Territorial,Viviparous,Burrowing,Pack hunters,Monogamy,Dominance hierarchy,Highly social,starts with,U.S. States Animals","{'Geography': {'Continents': 'North America', 'Subcontinents': 'Central America', 'Countries': 'Belize, Canada, Costa Rica, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, Panama, United States', 'Biogeographical realms': 'Nearctic, Neotropical', 'Wwf biomes': 'Desert and Xeric Shrublands, Mediterranean forests, woodlands, and scrub,  Montane grasslands and shrublands, Taiga, Temperate broadleaf and mixed forest, Temperate coniferous forest, Temperate grasslands, Tropical coniferous forests, Tropical dry forest, Tropical moist forests,'}, 'Biome': ['Urban wildlife', 'Anthropogenic biome', 'Forest', 'Mountains', 'Grassland', 'Shrubland', 'Suburban', 'Agricultural'], 'Climate': ['Tropical', 'Temperate', 'Cold']}","{'Group name': 'pack, band, rout', 'Lifestyle': 'Terrestrial, Cursorial, Altricial, Territorial, Viviparous, Burrowing, Pack hunters'}","Carnivore,,Scavenger","{'Mating behavior': 'Monogamy', 'Reproduction season': 'February-March', 'Pregnancy duration': '63 days', 'Baby carrying': '3-12 pups', 'Independent age': '35 days', 'Female name': 'bitch', 'Male name': 'dog', 'Baby name': 'pup, cub, whelp'}","{'Population trend': 'Increasing', 'Population status': 'Least concern (LC)'}"
Moose,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,Ruminantia,Cervidae,Alces,Alces alces,,15-25 years,32 km/h,270-720 kg,1.8-2.1 m,2.4-3.2 m,"Diurnal,Herbivore,Folivore,Lignivore,Terrestrial,Precocial,Browsing,Cursorial,Viviparous,Polygamy,Solitary,Dominance hierarchy,Partial Migrant,starts with,Canada Province Animals,Best Horns","{'Geography': {'Continents': 'Europe, North America, Asia', 'Subcontinents': 'East Asia, Central Asia', 'Countries': 'Belarus, Canada, China, Croatia, Czech Republic, Estonia, Finland, Germany, Hungary, Kazakhstan,', 'Regions': 'Latvia, Lithuania, Moldova, Mongolia, Norway, Poland, Romania, Russia, Slovakia, Sweden, Ukraine, United States', 'Biogeographical realms': 'Alaska', 'Wwf biomes': 'Nearctic, Palearctic Indian ocean, Taiga, Temperate broadleaf and mixed forest, Temperate coniferous forest, Tundra'}, 'Biome': ['Wetlands ', 'Bog', 'Forest', 'Lakes', 'Marsh', 'Riparian', 'Rivers', 'Shrubland', 'Swamp', 'Woodland', 'Mountains'], 'Climate': ['Temperate', 'Cold']}","{'Lifestyle': 'Terrestrial, Precocial, Browsing, Cursorial, Viviparous', 'Seasonal behavior': 'Partial Migrant'}","Herbivore,,Folivore,,Lignivore","{'Mating behavior': 'Polygamy', 'Reproduction season': 'September-October', 'Pregnancy duration': '8 months', 'Baby carrying': '1 calf', 'Independent age': '12 months', 'Female name': 'cowb', 'Male name': 'bull', 'Baby name': 'calf'}","{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Bobcat,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,Lynx,Lynx rufus,,12-25 yrs,55 km/h,4-18 kg,30-60 cm,47.5-125 cm,"Crepuscular,Carnivore,Scavenger,Terrestrial,Cursorial,Mesopredator,Territorial,Viviparous,Ambush predator,Polygynandry,Solitary,Dominance hierarchy,Not a migrant,starts with,U.S. States Animals","{'Geography': {'Continents': 'North America  Canada, Mexico, United States', 'Countries': 'Alberta, British Columbia, Manitoba, New Brunswick, Nova Scotia, Ontario, Québec, Saskatchewan, Alabama, Arizona,', 'Regions': 'Arkansas, California, Colorado, Connecticut, Florida, Georgia, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi,  Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming, Baja California, Prince Edward I.', 'Biogeographical realms': 'Nearctic', 'Wwf biomes': 'Desert and Xeric Shrublands, Mediterranean forests, woodlands, and scrub, Temperate broadleaf and mixed forest, Temperate coniferous forest,  Temperate grasslands, Tropical coniferous forests, Tropical dry forest'}, 'Biome': ['Chaparral', 'Forest', 'Mountains', 'Grassland', 'Savanna', 'Shrubland', 'Swamp', 'Woodland'], 'Climate': ['Temperate', 'Tropical']}","{'Group name': 'destruction (wild cats), clowder, clutter, pounce', 'Lifestyle': 'Terrestrial, Cursorial, Mesopredator, Territorial, Viviparous, Ambush predator', 'Seasonal behavior': 'Not a migrant'}","Carnivore,,Scavenger","{'Mating behavior': 'Polygynandry', 'Reproduction season': 'February-March', 'Pregnancy duration': '60-70 days', 'Baby carrying': '3 kittens', 'Independent age': '8 months', 'Female name': 'queen', 'Male name': 'tomcat', 'Baby name': 'kitten'}","{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Leopard,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,Panthera,Panthera pardus,Unknown,10-20 yrs,58 km/h,28-90 kg,57-70 cm,90-190 cm,"Nocturnal,Carnivore,Terrestrial,Arboreal,Altricial,Ambush predator,Apex predator,Cursorial,Territorial,Viviparous,Polygynandry,Solitary,Not a migrant,starts with,Spotted Animals,Aristocrats,Dangerous Animals","{'Geography': {'Continents': 'Asia, Africa', 'Subcontinents': 'South Asia, Sub-Saharan Africa, Western Asia, Southeast Asia, East Asia, North Africa, Central Asia', 'Countries': 'Angola, Armenia, Azerbaijan, Bangladesh, Benin, Bhutan, Botswana, Burkina Faso, Burundi, Cambodia,', 'Biogeographical realms': ""Cameroon, Central African Republic, Chad, China, Congo, DR Congo, Cote d'Ivoire, Djibouti, Egypt, Equatorial Guinea, Eritrea, Ethiopia, Gabon, Ghana, Guinea, Guinea-Bissau, India, Indonesia, Iran, Iraq, Kenya, Liberia, Malawi, Malaysia, Mali, Mozambique, Myanmar, Namibia, Nepal, Niger, Nigeria, Oman, Pakistan,  Russia, Rwanda, Saudi Arabia, Senegal, Sierra Leone, Somalia, South Africa, South Sudan, Sri Lanka, Sudan, Swaziland, Tanzania, Thailand, Turkey, Turkmenistan, Uganda, Yemen, Zambia, Zimbabwe, Afghanistan"", 'Wwf biomes': 'Palearctic, Indomalayan, Afrotropical'}, 'Biome': ['Forest', 'Rainforest', 'Savanna', 'Woodland'], 'Climate': ['Tropical', 'Arid', 'Temperate']}","{'Group name': 'leap or lepe', 'Lifestyle': 'Terrestrial, Arboreal, Altricial, Ambush predator, Apex predator, Cursorial, Territorial, Viviparous', 'Seasonal behavior': 'Not a migrant'}",Carnivore,"{'Mating behavior': 'Polygynandry', 'Reproduction season': 'year-round, peak in May', 'Pregnancy duration': '90-105 days', 'Baby carrying': '2-4 cubs', 'Independent age': '18-24 months', 'Female name': 'leopardess', 'Male name': 'leopard', 'Baby name': 'cub'}","{'Population trend': 'Decreasing', 'Population status': 'Vulnerable (VU)'}"
Narwhal,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Monodontidae,Monodon,Monodon monoceros,80,50 yrs,,"800-1,600 kg",,4-5.5m,"Carnivore,Piscivores,Aquatic,Precocial,Natatorial,Congregatory,Viviparous,Polygyny,Social,Dominance hierarchy,Migrating,starts with,Weird Animals","{'Geography': {'Continents': 'North America, Asia, Europe', 'Countries': 'Canada, Russia', 'Regions': 'Greenland', 'Oceans': 'Arctic Ocean, Atlantic Ocean', 'Biogeographical realms': 'Nearctic, Palearctic'}, 'Biome': ['Oceanic pelagic zone', 'Marine', 'Neritic zone', 'Benthic'], 'Climate': ['Cold', 'Polar']}","{'Group name': 'pod, gam, herd, school, mod', 'Lifestyle': 'Aquatic, Precocial, Natatorial, Congregatory, Viviparous', 'Seasonal behavior': 'Migrating'}","Carnivore,,Piscivores","{'Mating behavior': 'Polygyny', 'Reproduction season': 'March-May', 'Pregnancy duration': '15 months', 'Baby carrying': '1 calf', 'Independent age': '1 year', 'Female name': 'cow', 'Male name': 'bull', 'Baby name': 'calf'}",{'Population status': 'Near Threatened (NT)'}
Common Hippo,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Hippopotamidae,Hippopotamus,Hippopotamus amphibius,125-148 Thou,40-50 yrs,30 km/h,1-4.5 t,1.6 m,2.7-3.5 m,"Nocturnal,Herbivore,Graminivore,Semiaquatic,Precocial,Grazing,Natatorial,Territorial,Viviparous,Congregatory,Polygyny,Dangerous,Dominance hierarchy,Highly social,Not a migrant,starts with,Long-Lived Animals,Dangerous Animals,Giant Animals","{'Geography': {'Continents': 'Africa', 'Subcontinents': 'Sub-Saharan Africa', 'Countries': 'Angola, Benin, Botswana, Burkina Faso, Burundi, Cameroon, Central African Republic, Chad, Congo, DR Congo,', 'Biogeographical realms': ""Cote d'Ivoire, Equatorial Guinea, Ethiopia, Gabon, Gambia, Ghana, Guinea, Guinea-Bissau, Kenya, Malawi, Mali, Mozambique, Namibia, Niger, Nigeria, Rwanda, Senegal, Sierra Leone, Somalia, South Africa,  South Sudan, Sudan, Swaziland, Tanzania, Togo, Uganda, Zambia, Zimbabwe"", 'Wwf biomes': 'Afrotropical'}, 'Biome': ['Lakes', 'Rivers', 'Shrubland', 'Wetlands ', 'Estuaries', 'Freshwater', 'Swamp', 'Forest', 'Grassland', 'Savanna', 'Riparian', 'Rainforest', 'Coastal', 'Neritic zone', 'Brackish water', 'Marine'], 'Climate': ['Tropical', 'Temperate']}","{'Group name': 'bloat, herd, thunder, pod, school', 'Lifestyle': 'Semiaquatic, Precocial, Grazing, Natatorial, Territorial, Viviparous, Congregatory', 'Seasonal behavior': 'Not a migrant'}","Herbivore,,Graminivore","{'Mating behavior': 'Polygyny', 'Reproduction season': 'year-round, peaks in February-August', 'Pregnancy duration': '240 days', 'Baby carrying': '1 calf', 'Independent age': '18 months', 'Female name': 'cow', 'Male name': 'bull', 'Baby name': 'calf'}","{'Population trend': 'Decreasing', 'Population status': 'Vulnerable (VU)'}"
Wolverine,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Mustelidae,Gulo,Gulo gulo,Unknown,5-17 yrs,48 km/h,9-25 kg,30-45 cm,65-107 cm,"Nocturnal,Carnivore,Scavenger,Terrestrial,Altricial,Viviparous,Burrowing,Predator,Polygyny,Solitary,Not a migrant,starts with,Vicious Animals,Canada Province Animals,Fluffy Animals","{'Geography': {'Continents': 'North America, Asia, Europe', 'Subcontinents': 'East Asia', 'Countries': 'Canada, China, Finland, Mongolia, Norway, Russia, Sweden, United States, Estonia', 'Biogeographical realms': 'Nearctic, Palearctic Montane grasslands and shrublands, Taiga, Tundra'}, 'Biome': ['Forest', 'Mountains', 'Grassland', 'Shrubland', 'Woodland', 'Rocky areas '], 'Climate': ['Cold', 'Polar', 'Temperate']}","{'Group name': 'pack', 'Lifestyle': 'Terrestrial, Altricial, Viviparous, Burrowing, Predator', 'Seasonal behavior': 'Not a migrant'}","Carnivore,,Scavenger","{'Mating behavior': 'Polygyny', 'Reproduction season': 'May-August', 'Pregnancy duration': '2 months', 'Baby carrying': '2-3 kits', 'Independent age': '3 months', 'Female name': 'angeline', 'Male name': 'wolverine', 'Baby name': 'kit, whelp'}","{'Population trend': 'Decreasing', 'Population status': 'Least concern (LC)'}"
Red Panda,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Ailuridae,Ailurus,Ailurus fulgens,16-20 Thou,8-14 yrs,38 km/h,3-6.2 kg,,50-64 cm,"Nocturnal,Crepuscular,Herbivore,Folivore,Arboreal,Altricial,Terrestrial,Viviparous,Territorial,Polygynandry,Solitary,Altitudinal Migrant,starts with,Cute Animals,Fluffy Animals","{'Geography': {'Continents': 'Asia', 'Subcontinents': 'Southeast Asia, East Asia, South Asia', 'Countries': 'Bhutan, China,  India, Myanmar, Nepal', 'Biogeographical realms': 'Indomalayan', 'Wwf biomes': 'Temperate broadleaf and mixed forest, Temperate coniferous forest'}, 'Biome': ['Forest', 'Mountains', 'Montane forest'], 'Climate': ['Temperate', 'Tropical']}","{'Group name': 'sleuth', 'Lifestyle': 'Arboreal, Altricial, Terrestrial, Viviparous, Territorial', 'Seasonal behavior': 'Altitudinal Migrant'}","Herbivore,,Folivore","{'Mating behavior': 'Polygynandry', 'Reproduction season': 'January-March', 'Pregnancy duration': '4 months', 'Baby carrying': '1-5 cubs', 'Independent age': '6-8 months', 'Female name': 'sow', 'Male name': 'boar', 'Baby name': 'cub'}","{'Population trend': 'Decreasing', 'Population status': 'Endangered (EN)'}"
Dingo,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Canidae,Canis,Canis dingo,Unknown,5-15 yrs,48 km/h,13-20 kg,52-60 cm,117-154 cm,"Crepuscular,Nocturnal,Carnivore,Scavenger,Terrestrial,Altricial,Pack hunters,Cursorial,Apex predator,Pursuit predator,Territorial,Pack hunters,Monogamy,Social,Dominance hierarchy,Not a migrant,starts with","{'Geography': {'Continents': 'Oceania', 'Countries': 'Australia', 'Regions': 'Australasian,  Indomalayan', 'Biogeographical realms': 'Desert and Xeric Shrublands, Montane grasslands and shrublands, Temperate broadleaf and mixed forest, Temperate grasslands, Tropical moist forests, Tropical savanna'}, 'Biome': ['Shrubland', 'Forest', 'Anthropogenic biome', 'Suburban', 'Urban wildlife', 'Coastal'], 'Climate': ['Tropical', 'Arid', 'Temperate']}","{'Group name': 'pack', 'Lifestyle': 'Terrestrial, Altricial, Pack hunters, Cursorial, Apex predator, Pursuit predator, Territorial, Pack hunters', 'Seasonal behavior': 'Not a migrant'}","Carnivore,,Scavenger","{'Mating behavior': 'Monogamy', 'Reproduction season': 'March-April in Australia, August-September in Southeast Asia', 'Pregnancy duration': '63 days', 'Baby carrying': '4-5 pups', 'Independent age': '8 weeks', 'Female name': 'bitch', 'Male name': 'dog', 'Baby name': 'pup'}",{'Population status': 'Not evaluated (NE)'}
Capybara,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Caviidae,Hydrochoerus,Hydrochoerus hydrochaeris,Unknown,6-12 yrs,35 km/h,35-66 kg,50-62 cm,106-134 cm,"Crepuscular,Herbivore,Folivore,Coprophage,Lignivore,Precocial,Grazing,Natatorial,Territorial,Viviparous,Semiaquatic,Polygyny,Dominance hierarchy,Highly social,Not a migrant,starts with,Cute Animals","{'Geography': {'Continents': 'South America', 'Countries': 'Argentina, Bolivia, Brazil, Colombia, Ecuador, Guyana, Paraguay, Peru, Uruguay, Venezuela', 'Biogeographical realms': 'Neotropical', 'Wwf biomes': 'Flooded grasslands and savannas , Tropical moist forests'}, 'Biome': ['Forest', 'Marsh', 'Wetlands ', 'Rainforest', 'Riparian', 'Swamp', 'Freshwater', 'Lakes', 'Rivers', 'Savanna'], 'Climate': ['Tropical']}","{'Lifestyle': 'Precocial, Grazing, Natatorial, Territorial, Viviparous, Semiaquatic', 'Seasonal behavior': 'Not a migrant'}","Herbivore,,Folivore,,Coprophage,,Lignivore","{'Mating behavior': 'Polygyny', 'Reproduction season': 'Year-round, peak in May-June', 'Pregnancy duration': '150 days', 'Baby carrying': '2-8 pups', 'Independent age': '1 year', 'Baby name': 'pup'}","{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Tasmanian Devil,Animalia,Chordata,Vertebrata,Mammalia,Dasyuromorphia,,Dasyuridae,Sarcophilus,Sarcophilus harrisii,10-25 Thou,5-8 yrs,24 km/h,4-12 kg,,52-80 cm,"Nocturnal,Crepuscular,Carnivore,Scavenger,Terrestrial,Altricial,Viviparous,Arboreal,Territorial,Ambush predator,Apex predator,Pursuit predator,Polygynandry,Solitary,Not a migrant,starts with,Vicious Animals,Slow Animals","{'Geography': {'Continents': 'Oceania', 'Countries': 'Australia', 'Regions': 'Tasmania', 'Biogeographical realms': 'Australasian', 'Wwf biomes': 'Temperate broadleaf and mixed forest'}, 'Biome': ['Agricultural', 'Anthropogenic biome', 'Forest', 'Shrubland', 'Woodland', 'Grassland', 'Suburban'], 'Climate': ['Temperate']}","{'Lifestyle': 'Terrestrial, Altricial, Viviparous, Arboreal, Territorial, Ambush predator, Apex predator, Pursuit predator', 'Seasonal behavior': 'Not a migrant'}","Carnivore,,Scavenger","{'Mating behavior': 'Polygynandry', 'Reproduction season': 'March', 'Pregnancy duration': '21 days', 'Baby carrying': '2-3 imps', 'Independent age': '8 months', 'Baby name': 'pup, joey, imp'}","{'Population trend': 'Decreasing', 'Population status': 'Endangered (EN)'}"
Domestic Guinea Pig,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Caviidae,Cavia,Cavia porcellus,Unknown,8-14 yrs,,"700-1,200 g",,20-25 cm,"Crepuscular,Herbivore,Folivore,Frugivore,Terrestrial,Precocial,Grazing,Social,Not a migrant,Domesticated,starts with","{'Geography': {'Biogeographical realms': 'Neotropical'}, 'Biome': [], 'Climate': []}","{'Group name': 'herd', 'Lifestyle': 'Terrestrial, Precocial, Grazing,', 'Seasonal behavior': 'Not a migrant'}","Herbivore,,Folivore,,Frugivore","{'Reproduction season': 'year-round, with the peak in spring', 'Pregnancy duration': '59-72 days', 'Baby carrying': '3 pups', 'Independent age': '14-21 days', 'Female name': 'sow', 'Male name': 'boar', 'Baby name': 'pup, piglet'}",{'Population status': 'Not evaluated (NE)'}
Alpaca,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Camelidae,Vicugna,Vicugna pacos,3.5 mln,5-20 yrs,48 km/h,55-65 kg,81-99 cm,1200-2250 mm,"Diurnal,Herbivore,Graminivore,Terrestrial,Precocial,Grazing,Nomadic,Viviparous,Territorial,Polygyny,Social,Herding,Dominance hierarchy,Not a migrant,starts with,Fluffy Animals","{'Geography': {'Continents': 'South America', 'Countries': 'Chile, Bolivia, Ecuador, Peru', 'Biogeographical realms': 'Australasian, Nearctic, Neotropical, Palearctic', 'Wwf biomes': 'Montane grasslands and shrublands'}, 'Biome': ['Agricultural', 'Anthropogenic biome', 'Mountains', 'Grassland'], 'Climate': ['Arid', 'Temperate']}","{'Group name': 'herd', 'Lifestyle': 'Terrestrial, Precocial, Grazing, Nomadic, Viviparous, Territorial', 'Seasonal behavior': 'Not a migrant'}","Herbivore,,Graminivore","{'Mating behavior': 'Polygyny', 'Reproduction season': 'year-round', 'Pregnancy duration': '242-345 days', 'Baby carrying': '1 cria', 'Independent age': '6 months', 'Female name': 'hembra', 'Male name': 'macho', 'Baby name': 'cria'}",{'Population status': 'Not evaluated (NE)'}
Domestic Sheep,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Bovidae,Ovis,Ovis aries,"7,5",10-20 yrs,,45-160 kg,,120-180 cm,"Diurnal,Herbivore,Graminivore,Terrestrial,Grazing,Precocial,Viviparous,Polygyny,Herding,Social,Dominance hierarchy,Not a migrant,Domesticated,starts with","{'Geography': {'Biogeographical realms': 'Australasian, Afrotropical, Nearctic, Neotropical, Indomalayan, Palearctic'}, 'Biome': ['Agricultural', 'Anthropogenic biome'], 'Climate': ['Tropical', 'Arid', 'Temperate', 'Cold']}","{'Group name': 'flock, fold, herd, mob, trip, drift, drove', 'Lifestyle': 'Terrestrial, Grazing, Precocial, Viviparous', 'Seasonal behavior': 'Not a migrant'}","Herbivore,,Graminivore","{'Mating behavior': 'Polygyny', 'Reproduction season': 'seasonal, year-round', 'Pregnancy duration': '5 months', 'Baby carrying': '1-2 lambs', 'Female name': 'ewe, dam', 'Male name': 'buck, ram', 'Baby name': 'lamb, lambkin'}",{}
